Time_s,Net_Produce_MW
286200,-54.986873
287100,-55.179427
288000,-60.532269
288900,-60.641228
289800,-60.633741
290700,-60.846069
291600,-59.168385
292500,-59.274888
293400,-59.26757
294300,-59.475114
295200,-41.5174
296100,-41.592132
297000,-41.586997
297900,-41.732627
298800,-31.129297
299700,-31.18533
300600,-31.18148
301500,-31.290672
302400,-20.384313
303300,-20.429588
304200,-20.426477
305100,-20.514706
306000,-21.306045
306900,-26.121591
307800,-26.118366
308700,-26.209828
309600,-25.100226
310500,-25.145407
311400,-25.142302
312300,-25.230346
313200,-30.14425
314100,-30.19851
315000,-30.194782
315900,-30.300519
316800,-41.950035
317700,-42.025545
318600,-42.020357
319500,-42.167505
320400,-53.707262
321300,-53.803935
322200,-53.797292
323100,-53.985681
324000,-58.331405
324900,-56.128983
325800,-53.660575
326700,-53.865184
327600,-44.721319
328500,-44.815117
329400,-47.428597
330300,-47.611382
331200,-27.239352
332100,-27.296967
333000,-29.754201
333900,-29.866475
334800,-16.861381
335700,-16.895885
336600,-16.893515
337500,-16.960753
338400,-3.823815
339300,-3.834851
340200,-1.3729
341100,-1.394406
342000,1.566346
342900,1.560582
343800,1.560978
344700,1.549745
345600,-0.647031
346500,-0.652349
347400,-0.651983
348300,-0.662347
349200,-2.731689
350100,-2.736606
351000,-2.736268
351900,-2.74585
352800,-2.860154
353700,-0.557883
354600,1.903664
355500,1.893631
356400,4.528019
357300,4.52287
358200,7.306844
359100,10.249083
360000,10.2552
360900,13.375923
361800,13.376278
362700,13.366214
363600,14.013755
364500,14.003781
365400,14.004466
366300,10.680567
367200,-5.890743
368100,-2.626134
369000,-2.623396
369900,-2.70106
370800,-26.327099
371700,-22.739471
372600,-18.863415
373500,-14.968223
374400,-11.030495
375300,-11.128487
376200,-6.428375
377100,-1.70769600000001
378000,4.93599099999999
378900,4.840207
379800,10.209823
380700,15.619342
381600,37.603949
382500,37.536739
383400,37.541357
384300,43.487718
385200,53.02386
386100,52.973467
387000,52.976929
387900,59.204082
388800,64.724087
389700,64.683368
390600,58.360811
391500,58.281462
392400,51.492435
393300,51.450224
394200,57.530458
395100,57.448202
396000,58.446126
396900,52.328159
397800,52.330951
398700,52.251768
399600,47.832431
400500,47.783633
401400,47.786986
402300,41.857617
403200,31.380583
404100,31.312673
405000,25.721164
405900,25.588826
406800,9.847471
407700,9.76052799999999
408600,9.766502
409500,4.462218
410400,0.553875999999995
411300,0.459446
412200,0.465934999999995
413100,0.28192
414000,6.149248
414900,1.153253
415800,1.15905
416700,0.994661000000001
417600,19.316318
418500,14.571123
419400,14.574683
420300,14.473709
421200,26.169886
422100,21.658774
423000,21.660906
423900,21.600435
424800,33.415186
425700,33.405261
426600,33.405943
427500,33.386601
428400,31.77762
429300,31.772436
430200,31.772792
431100,31.76269
432000,32.049913
432900,32.045219
433800,27.977176
434700,27.968029
435600,28.178162
436500,28.173822
437400,28.17412
438300,24.295713
439200,24.194825
440100,24.190281
441000,20.5141
441900,20.505245
442800,20.51801
443700,17.025468
444600,17.02578
445500,17.016924
446400,13.717859
447300,10.587413
448200,7.635453
449100,4.84295
450000,2.497881
450900,-0.130848
451800,-2.591436
452700,-2.608591
453600,-19.542287
454500,-19.577463
455400,-19.575046
456300,-19.643594
457200,-43.575162
458100,-43.653597
459000,-41.340789
459900,-41.493637
460800,-43.281493
461700,-40.748059
462600,-40.742116
463500,-38.127041
464400,-36.795306
465300,-36.879848
466200,-33.921766
467100,-34.086513
468000,-19.831801
468900,-19.891123
469800,-19.887046
470700,-16.876759
471600,-8.459907
472500,-8.504386
473400,-8.50133
474300,-11.713893
475200,-6.841791
476100,-6.877731
477000,-9.827534
477900,-12.68119
478800,-13.309349
479700,-18.427723
480600,-20.732582
481500,-20.805184
482400,-19.92439
483300,-19.960254
484200,-19.957789
485100,-20.027678
486000,-23.928302
486900,-23.971373
487800,-23.968413
488700,-24.052347
489600,-33.299654
490500,-33.359593
491400,-33.355475
492300,-33.47228
493200,-42.632461
494100,-42.709199
495000,-42.703927
495900,-42.853468
496800,-46.303074
497700,-46.38642
498600,-46.380693
499500,-46.54311
500400,-41.364451
501300,-41.438907
502200,-41.433791
503100,-41.578884
504000,-25.407705
504900,-25.453439
505800,-25.450297
506700,-25.539419
507600,-15.216064
508500,-15.243453
509400,-15.241571
510300,-15.294944
511200,-4.866932
512100,-4.875692
513000,-4.87509
513900,-4.892162
514800,-2.541937
515700,-2.546513
516600,-2.546198
517500,-2.555115
518400,-2.448203
519300,-2.452609
520200,-2.452307
521100,-2.460894
522000,-2.263612
522900,-2.267686
523800,-2.267406
524700,-2.275346
525600,-2.370064
526500,-2.374331
527400,-2.374037
528300,-2.382351
529200,-2.370366
530100,-2.374633
531000,-2.37434
531900,-2.382654
532800,-2.377586
533700,-2.381865
534600,-2.381571
535500,-2.389911
536400,-4.591567
537300,-4.599832
538200,-4.599264
539100,-4.61537
540000,-18.347174
540900,-18.380199
541800,-18.37793
542700,-18.442286
543600,-40.910314
544500,-40.983952
545400,-40.978892
546300,-41.122393
547200,-45.111591
548100,-45.192792
549000,-45.187213
549900,-45.34545
550800,-44.095158
551700,-44.17453
552600,-44.169076
553500,-44.323748
554400,-30.940786
555300,-30.996479
556200,-30.992653
557100,-31.101183
558000,-23.199066
558900,-23.240825
559800,-23.237955
560700,-23.319331
561600,-18.745183
562500,-18.778924
563400,-18.776606
564300,-18.842358
565200,-19.432102
566100,-19.46708
567000,-19.464677
567900,-19.532839
568800,-18.705909
569700,-18.73958
570600,-18.737267
571500,-18.802881
572400,-22.464962
573300,-22.505399
574200,-20.195201
575100,-15.192883
576000,-18.138777
576900,-15.069163
577800,-8.272835
578700,-0.836051999999999
579600,-5.367675
580500,3.312105
581400,8.010434
582300,12.781675
583200,20.04092
584100,25.558846
585000,25.564223
585900,31.246013
586800,42.185304
587700,42.115401
588600,48.445559
589500,48.309339
590400,70.069903
591300,76.863244
592200,83.965374
593100,98.888609
594000,116.498286
594900,124.672963
595800,141.943586
596700,150.971863
597600,170.143118
598500,179.82341
599400,179.823975
600300,179.807947
601200,182.014444
602100,182.010148
603000,182.010443
603900,182.002072
604800,171.424906
605700,162.038019
606600,162.038425
607500,152.948508
608400,144.432663
609300,144.427192
610200,144.427568
611100,135.92881
612000,135.80162
612900,135.795891
613800,127.595893
614700,127.58473
615600,119.683175
616500,119.677446
617400,112.037974
618300,104.659767
619200,104.666574
620100,104.660827
621000,104.661222
621900,104.650023
622800,109.060627
623700,109.049529
624600,116.690157
625500,116.66853
626400,106.146778
627300,106.102432
628200,106.105479
629100,106.01906
630000,84.048841
630900,83.949957
631800,83.956751
632700,92.252151
633600,86.89536
634500,86.786321
635400,95.574573
636300,95.362088
637200,97.04101
638100,106.012814
639000,106.020138
639900,115.19341
640800,142.852892
641700,152.779128
642600,163.102755
643500,173.597933
644400,195.17739
645300,195.121316
646200,206.42582
647100,217.954507
648000,224.096784
648900,236.031702
649800,236.034815
650700,248.273978
651600,247.482055
652500,260.114732
653400,260.11796
654300,260.02643
655200,261.136851
656100,261.091637
657000,261.094744
657900,248.326989
658800,243.409459
659700,243.355159
660600,231.031433
661500,218.945391
662400,207.287278
663300,195.573752
664200,195.578945
665100,195.431689
666000,172.582765
666900,172.48602
667800,161.524365
668700,161.335838
669600,156.986907
670500,146.240916
671400,146.248136
672300,135.724889
673200,142.253643
674100,142.159776
675000,132.165203
675900,131.982282
676800,152.369345
677700,152.311688
678600,152.31565
679500,152.203293
680400,165.217983
681300,165.183453
682200,165.185826
683100,175.119561
684000,188.266193
684900,188.255149
685800,198.574395
686700,198.552873
687600,201.51581
688500,201.510042
689400,201.510438
690300,201.499197
691200,191.103683
692100,191.097746
693000,181.097131
693900,181.085561
694800,171.662828
695700,171.657339
696600,162.276746
697500,153.187663
698400,144.279297
699300,144.27355
700200,135.785848
701100,127.574256
702000,119.672755
702900,119.667007
703800,112.027537
704700,112.016335
705600,104.656121
706500,104.650356
707400,97.551572
708300,97.540336
709200,87.737942
710100,87.726808
711000,81.149236
711900,74.802183
712800,56.302417
713700,50.180591
714600,44.349374
715500,44.262672
716400,8.397115
717300,8.297907
718200,13.900899
719100,13.707572
720000,14.167517
720900,14.058121
721800,20.142972
722700,19.929791
723600,21.61421
724500,27.832634
725400,34.418319
726300,41.046219
727200,66.175198
728100,73.467208
729000,81.112229
729900,88.883662
730800,107.729946
731700,107.673689
732600,116.16565
733500,116.05602
734400,122.218405
735300,122.172948
736200,122.176071
737100,122.087488
738000,112.804877
738900,104.557362
739800,104.5606
740700,96.551123
741600,90.025314
742500,82.61291
743400,75.516847
744300,68.592172
745200,57.080205
746100,57.025728
747000,57.029471
747900,56.92331
748800,45.227031
749700,45.151218
750600,45.156427
751500,45.008689
752400,33.42261
753300,33.325548
754200,39.910555
755100,39.72141
756000,35.358242
756900,28.674486
757800,28.68173
758700,22.150945
759600,28.701073
760500,22.529564
761400,16.701761
762300,16.518242
763200,31.375872
764100,25.954993
765000,20.824111
765900,15.79975
766800,24.163668
767700,24.129025
768600,19.651325
769500,19.583817
770400,32.773488
771300,28.490663
772200,28.491425
773100,24.401466
774000,23.504153
774900,23.498365
775800,23.498763
776700,23.487486
777600,13.034949
778500,6.951
779400,4.167778
780300,-0.924619
781200,-2.972935
782100,-2.978287
783000,-2.977919
783900,-2.988347
784800,-3.112746
785700,-3.118349
786600,-3.117964
787500,-3.128882
788400,-3.113142
789300,-3.118746
790200,-3.11836
791100,-3.12928
792000,-3.122624
792900,-3.128244
793800,-3.127858
794700,-3.138811
795600,-6.030377
796500,-6.041231
797400,-6.040485
798300,-6.061638
799200,-24.096428
800100,-24.139802
801000,-24.136822
801900,-24.221345
802800,-53.729933
803700,-53.826647
804600,-53.820002
805500,-54.008469
806400,-59.247719
807300,-59.354365
808200,-59.347037
809100,-59.55486
810000,-57.912778
810900,-58.017021
811800,-58.009858
812700,-58.212998
813600,-38.328944
814500,-38.40209
815400,-38.397064
816300,-36.07841
817200,-25.700093
818100,-25.754937
819000,-23.131243
819900,-23.238118
820800,-17.23062
821700,-17.274934
822600,-19.891814
823500,-19.978171
824400,-23.21391
825300,-25.567267
826200,-25.564111
827100,-25.653632
828000,-24.567577
828900,-24.611798
829800,-24.60876
830700,-24.694935
831600,-29.504562
832500,-29.55767
833400,-29.554021
834300,-29.657514
835200,-41.059817
836100,-41.133725
837000,-41.128647
837900,-41.272672
838800,-52.567545
839700,-52.662167
840600,-52.655665
841500,-52.840055
842400,-57.093559
843300,-57.196328
844200,-57.189267
845100,-57.389533
846000,-51.004037
846900,-51.095845
847800,-51.089536
848700,-51.268442
849600,-31.328726
850500,-31.385118
851400,-31.381243
852300,-31.491134
853200,-18.762021
854100,-18.795793
855000,-18.793472
855900,-18.859284
856800,-6.001123
857700,-6.011925
858600,-6.011183
859500,-6.032233
860400,-3.134311
861300,-3.139953
862200,-3.139565
863100,-3.150559
864000,-3.33864
864900,-3.34465
865800,-3.344237
866700,-3.355948
867600,-3.086912
868500,-3.092468
869400,-3.092086
870300,-3.102914
871200,-3.232082
872100,-3.2379
873000,-3.2375
873900,-3.248837
874800,-3.232493
875700,-3.238312
876600,-3.237912
877500,-3.249251
878400,-3.242339
879300,-3.248175
880200,-3.247774
881100,-3.259147
882000,-6.261569
882900,-6.27284
883800,-6.272066
884700,-6.294029
885600,-25.020237
